Grade,Term 1,Term 2,
6,2.429,2.571,2.5
8,1.857,1.429,1.643
7,3.286,3.429,3.3575
6,3.286,2.857,3.0715
6,3.857,3.857,3.857
6,3,2.857,2.9285
6,2,2,2
7,3.714,3.429,3.5715
7,3,3.286,3.143
6,2.286,2.143,2.2145
7,2.714,2.857,2.7855
7,2.714,1.857,2.2855
8,3.571,3.143,3.357
7,2.143,1.714,1.9285
7,4,4,4
6,3.857,3.857,3.857
7,3.143,3,3.0715
6,2.857,3,2.9285
7,3,2.857,2.9285
8,3.429,3.286,3.3575
7,4,3.857,3.9285
6,3.714,3.857,3.7855
8,2.714,2,2.357
8,2.714,2.714,2.714
7,2.286,2.714,2.5
6,2.714,2.571,2.6425
8,2.857,2.714,2.7855
8,2.857,2.286,2.5715
8,3,3,3
6,3.143,3,3.0715
6,3.571,3.286,3.4285
7,4,4,4
6,3.857,3.714,3.7855
8,3.143,3,3.0715
6,3.429,3.286,3.3575
6,3.429,3.571,3.5
7,2.714,2.571,2.6425
7,3.857,3.857,3.857
7,3.429,3.143,3.286
8,1.571,2.143,1.857
6,3.429,3,3.2145
6,3.714,2.714,3.214
8,3.429,3.571,3.5
8,2.857,2.429,2.643
6,3.571,3.429,3.5
7,3,3.286,3.143
8,1.571,1.571,1.571
8,3.286,2.857,3.0715
8,2.571,2.143,2.357
8,2.714,2.286,2.5
6,2.429,2,2.2145
6,2.714,2.714,2.714
8,2.286,1.714,2
6,3.571,3.286,3.4285
8,3.857,3.714,3.7855
7,2.571,2.429,2.5
7,2.286,,2.286
8,2.286,2.143,2.2145
7,3.714,3.714,3.714
8,3.571,3.286,3.4285
8,3.143,2.857,3
8,3.857,3.714,3.7855
8,3.143,2.857,3
6,3.571,3.571,3.571
6,3,3,3
7,3,3.286,3.143
6,3.286,3,3.143
8,3.571,3.429,3.5
8,3.143,3.429,3.286
7,3.857,3.571,3.714
8,2,,2
6,4,4,4
8,1.857,1.286,1.5715
7,1.429,1.571,1.5
7,2.143,0.857,1.5
8,,,#DIV/0!
7,2.429,2.286,2.3575
8,3,3.143,3.0715
8,3.143,3.143,3.143
8,3.143,2.857,3
8,2.429,2.714,2.5715
7,3.429,3.571,3.5
8,2.143,1.857,2
8,2.857,3,2.9285
7,3.571,3,3.2855
6,3.143,3.429,3.286
8,3.571,3.286,3.4285
6,3.857,3.429,3.643
6,1.857,1.571,1.714
8,3,,3
6,4,4,4
7,2.714,2.286,2.5
7,,,#DIV/0!
6,,,#DIV/0!
6,3.571,3.143,3.357
6,2.857,,2.857
6,3.143,2.429,2.786
8,2.571,1.857,2.214
6,2,1.857,1.9285
8,2.429,,2.429
7,3.286,2.857,3.0715
6,3.429,3.143,3.286
