Grade,Term 1,Term 2,
6,2.429,2.857,2.643
7,0.5,1.429,0.9645
6,3.714,3.429,3.5715
7,4,4,4
6,3.286,1.857,2.5715
8,4,4,4
6,3.571,3.429,3.5
7,2.571,1.857,2.214
6,2.857,1.857,2.357
7,1.857,1.429,1.643
7,3,2,2.5
7,3.286,3,3.143
8,3.429,3.571,3.5
8,2.286,1.571,1.9285
6,2.714,2.571,2.6425
8,1.857,1.429,1.643
7,0.714,0.714,0.714
7,3.429,3.143,3.286
8,0.286,1.2,0.743
7,3.286,3.857,3.5715
6,3.286,2.857,3.0715
6,1.857,2,1.9285
7,1.167,1.429,1.298
8,1.857,1.571,1.714
7,1.286,1.429,1.3575
8,0.714,0.714,0.714
7,0.714,0.833,0.7735
6,3.857,4,3.9285
7,2.143,2.571,2.357
6,2.143,2.143,2.143
8,1.286,1.286,1.286
8,2,2.286,2.143
7,0.857,1,0.9285
8,3.286,4,3.643
7,3.857,4,3.9285
8,3.5,3.286,3.393
8,0.143,0.6,0.3715
8,0.429,0.143,0.286
8,1,2,1.5
6,3.429,3.571,3.5
6,2.571,2.571,2.571
7,1.857,2,1.9285
6,0.667,0.857,0.762
8,2.429,2.429,2.429
7,3.857,4,3.9285
8,2,1.857,1.9285
7,2.571,2.143,2.357
6,2,2,2
8,2.429,1.571,2
8,1.571,2.429,2
7,1,1.286,1.143
8,1.714,2.143,1.9285
6,3.286,3.143,3.2145
7,4,4,4
6,2.857,2.714,2.7855
8,3.833,3.857,3.845
7,3.333,3.571,3.452
7,3.714,3.714,3.714
7,2,2.429,2.2145
7,0.714,0.4,0.557
6,3.143,3.143,3.143
8,,4,4
6,1.286,0.857,1.0715
6,0.571,0.571,0.571
8,2.143,1.571,1.857
6,3.429,3.286,3.3575
7,4,4,4
7,3,2.429,2.7145
6,3.429,3.571,3.5
7,2.571,2.143,2.357
6,2.143,1.714,1.9285
6,2.143,2,2.0715
7,2.571,1.714,2.1425
7,1,1.429,1.2145
7,2.857,2.714,2.7855
7,1,1.714,1.357
7,4,4,4
6,3,1.714,2.357
8,3,2.714,2.857
8,2.286,1.714,2
7,3.857,2.857,3.357
8,0.833,1.286,1.0595
7,3,3,3
6,2.857,2.429,2.643
7,1.714,1,1.357
6,1.571,1.333,1.452
6,1.429,0.857,1.143
7,3.857,4,3.9285
7,1.167,0.857,1.012
6,2.429,1.714,2.0715
8,0,0.286,0.143
7,3.286,3.429,3.3575
8,2.714,2.429,2.5715
8,2.286,2.571,2.4285
6,3.857,3.857,3.857
7,3.571,3.571,3.571
6,2.857,2.571,2.714
6,0,1.5,0.75
7,2.833,2.429,2.631
7,2.143,1.286,1.7145
7,3.429,3.857,3.643
6,2.857,3.143,3
8,1.857,1.857,1.857
6,1.429,1.143,1.286
8,3,2.857,2.9285
6,1.857,1.143,1.5
6,3.714,3.143,3.4285
6,1.571,1.857,1.714
7,1.5,1.571,1.5355
8,3.429,2.857,3.143
8,2,2.714,2.357
7,2.143,1.571,1.857
7,0.857,1,0.9285
8,3.857,3.714,3.7855
6,3.143,3.286,3.2145
7,0.571,0.857,0.714
6,2.571,2.429,2.5
7,2.143,2,2.0715
7,3.714,3.429,3.5715
7,3.857,3.857,3.857
6,0.5,0.857,0.6785
6,2,1.714,1.857
8,3.667,3.571,3.619
7,1.833,1.429,1.631
6,3.429,3.286,3.3575
8,3.429,3.143,3.286
